date,match,home_team,away_team,market_type,selection,confidence_score,risk_label,market_priority,reason
2026-06-18T22:00:00+00:00,Canada vs Qatar,Canada,Qatar,Total Goals,Under 3.5 Goals,0.765,CONSERVATIVE,1,Projected total goals: 1.55. Recent goal profile suggests controlled scoring.
2026-06-18T16:00:00+00:00,Czechia vs South Africa,Czechia,South Africa,Total Goals,Under 3.5 Goals,0.67,BALANCED,1,Projected total goals: 2.5. Recent goal profile suggests controlled scoring.
2026-06-19T01:00:00+00:00,Mexico vs South Korea,Mexico,South Korea,Total Goals,Under 3.5 Goals,0.67,BALANCED,1,Projected total goals: 2.5. Recent goal profile suggests controlled scoring.
2026-06-17T17:00:00+00:00,Portugal vs Congo DR,Portugal,Congo DR,Total Goals,Under 3.5 Goals,0.66,BALANCED,1,Projected total goals: 2.6. Recent goal profile suggests controlled scoring.
2026-06-17T01:00:00+00:00,Argentina vs Algeria,Argentina,Algeria,Total Goals,Under 3.5 Goals,0.651,BALANCED,1,Projected total goals: 2.69. Recent goal profile suggests controlled scoring.
2026-06-18T19:00:00+00:00,Switzerland vs Bosnia & Herzegovina,Switzerland,Bosnia & Herzegovina,Total Goals,Under 3.5 Goals,0.65,BALANCED,1,Projected total goals: 2.7. Recent goal profile suggests controlled scoring.
2026-06-17T04:00:00+00:00,Austria vs Jordan,Austria,Jordan,Total Goals,Over 1.5 Goals,0.732,BALANCED,2,Projected total goals: 3.1. Both teams combine for enough attacking volume.
2026-06-19T19:00:00+00:00,USA vs Australia,USA,Australia,Total Goals,Over 1.5 Goals,0.732,BALANCED,2,Projected total goals: 3.1. Both teams combine for enough attacking volume.
2026-06-18T02:00:00+00:00,Uzbekistan vs Colombia,Uzbekistan,Colombia,Total Goals,Over 1.5 Goals,0.726,BALANCED,2,Projected total goals: 3.05. Both teams combine for enough attacking volume.
2026-06-16T22:00:00+00:00,Iraq vs Norway,Iraq,Norway,Total Goals,Over 1.5 Goals,0.72,BALANCED,2,Projected total goals: 3.0. Both teams combine for enough attacking volume.
2026-06-17T23:00:00+00:00,Ghana vs Panama,Ghana,Panama,Total Goals,Over 1.5 Goals,0.714,BALANCED,2,Projected total goals: 2.95. Both teams combine for enough attacking volume.
2026-06-17T20:00:00+00:00,England vs Croatia,England,Croatia,Total Goals,Over 1.5 Goals,0.69,BALANCED,2,Projected total goals: 2.75. Both teams combine for enough attacking volume.
